"contrast","hour","estimate","SE","df","t.ratio","p.value"
"PR F order1 - NR F order2","7",-0.0904761904760057,0.17273884597897,247.070802102271,-0.523774429331434,1
"PR F order1 - PR F order2","7",-0.042857142856958,0.17273884597897,247.07080210228,-0.248103677051168,1
"PR F order1 - NR M order2","7",-0.352380952380813,0.17273884597897,247.070802102271,-2.03996356687315,1
"PR F order1 - PR M order2","7",-0.114285714285574,0.17273884597897,247.070802102271,-0.661609805471827,1
"NR M order1 - PR M order1","7",-0.119047619047619,0.143649024731934,893.000000000027,-0.828739486883226,1
"NR M order1 - NR F order2","7",-0.0476190476190462,0.164700027350405,247.070802102302,-0.289125924173255,1
"NR M order1 - PR F order2","7",1.4432899320127e-15,0.164700027350405,247.070802102302,8.76314324430592e-15,1
"NR M order1 - NR M order2","7",-0.309523809523853,0.164700027350405,247.070802102293,-1.87931850712648,1
"NR M order1 - PR M order2","7",-0.071428571428615,0.164700027350405,247.070802102293,-0.43368888626016,1
"PR M order1 - NR F order2","7",0.0714285714285724,0.164700027350405,247.070802102297,0.433688886259901,1
"PR M order1 - PR F order2","7",0.11904761904762,0.164700027350405,247.070802102302,0.722814810433164,1
"PR M order1 - NR M order2","7",-0.190476190476235,0.164700027350405,247.070802102293,-1.15650369669332,1
"PR M order1 - PR M order2","7",0.0476190476190036,0.164700027350405,247.070802102297,0.289125924172996,1
"NR F order2 - PR F order2","7",0.0476190476190477,0.143649024731934,892.999999999968,0.331495794753292,1
"NR F order2 - NR M order2","7",-0.261904761904807,0.164700027350405,247.070802102297,-1.59019258295323,1
"NR F order2 - PR M order2","7",-0.0238095238095688,0.164700027350405,247.070802102297,-0.144562962086905,1
"PR F order2 - NR M order2","7",-0.309523809523855,0.164700027350405,247.070802102302,-1.87931850712649,1
"PR F order2 - PR M order2","7",-0.0714285714286165,0.164700027350405,247.070802102297,-0.433688886260168,1
"NR M order2 - PR M order2","7",0.238095238095238,0.143649024731934,892.999999999968,1.65747897376646,1
"NR F order1 - PR F order1","8",0.171428571428572,0.157359622418595,892.99999999991,1.08940634702688,1
"NR F order1 - NR M order1","8",-0.0571428571426729,0.17273884597897,247.070802102275,-0.330804902735252,1
"NR F order1 - PR M order1","8",0.0142857142858989,0.172738845978971,247.070802102275,0.082701225685148,1
"NR F order1 - NR F order2","8",0.133333333333519,0.17273884597897,247.07080210228,0.771878106385815,1
"NR F order1 - PR F order2","8",0.180952380952566,0.17273884597897,247.070802102271,1.04754885866608,1
"NR F order1 - NR M order2","8",-0.0571428571427169,0.17273884597897,247.070802102267,-0.330804902735507,1
"NR F order1 - PR M order2","8",-0.057142857142717,0.17273884597897,247.070802102271,-0.330804902735507,1
"PR F order1 - NR M order1","8",-0.228571428571245,0.17273884597897,247.070802102275,-1.32321961094421,1
"PR F order1 - PR M order1","8",-0.157142857142673,0.172738845978971,247.070802102275,-0.909713482523807,1
"PR F order1 - NR F order2","8",-0.0380952380950529,0.17273884597897,247.07080210228,-0.22053660182314,1
"PR F order1 - PR F order2","8",0.00952380952399476,0.17273884597897,247.070802102271,0.0551341504571254,1
"PR F order1 - NR M order2","8",-0.228571428571289,0.17273884597897,247.070802102275,-1.32321961094446,1
"PR F order1 - PR M order2","8",-0.228571428571289,0.17273884597897,247.070802102271,-1.32321961094446,1
"NR M order1 - PR M order1","8",0.0714285714285718,0.143649024731934,892.999999999968,0.49724369212994,1
"NR M order1 - NR F order2","8",0.190476190476192,0.164700027350405,247.070802102297,1.15650369669306,1
"NR M order1 - PR F order2","8",0.238095238095239,0.164700027350405,247.070802102297,1.44562962086633,1
"NR M order1 - NR M order2","8",-4.39925873507718e-14,0.164700027350405,247.070802102293,-2.67107346965864e-13,1
"NR M order1 - PR M order2","8",-4.41036096532343e-14,0.164700027350405,247.070802102302,-2.67781434907733e-13,1
"PR M order1 - NR F order2","8",0.11904761904762,0.164700027350405,247.070802102297,0.722814810433163,1
"PR M order1 - PR F order2","8",0.166666666666668,0.164700027350405,247.070802102297,1.01194073460643,1
"PR M order1 - NR M order2","8",-0.0714285714286158,0.164700027350405,247.070802102293,-0.433688886260165,1
"PR M order1 - PR M order2","8",-0.0714285714286159,0.164700027350405,247.070802102297,-0.433688886260165,1
"NR F order2 - PR F order2","8",0.0476190476190477,0.143649024731934,892.999999999968,0.331495794753292,1
"NR F order2 - NR M order2","8",-0.190476190476236,0.164700027350405,247.070802102293,-1.15650369669333,1
"NR F order2 - PR M order2","8",-0.190476190476236,0.164700027350405,247.070802102297,-1.15650369669333,1
"PR F order2 - NR M order2","8",-0.238095238095283,0.164700027350405,247.070802102302,-1.44562962086659,1
"PR F order2 - PR M order2","8",-0.238095238095283,0.164700027350405,247.070802102297,-1.44562962086659,1
"NR M order2 - PR M order2","8",-1.11022302462516e-16,0.143649024731934,892.999999999968,-7.72871954193192e-16,1
"NR F order1 - PR F order1","9",0.114285714285715,0.157359622418595,892.999999999851,0.72627089801793,1
"NR F order1 - NR M order1","9",0.0333333333335184,0.17273884597897,247.07080210228,0.192969526597257,1
"NR F order1 - PR M order1","9",-0.0619047619045764,0.17273884597897,247.070802102275,-0.358371977963271,1
"NR F order1 - NR F order2","9",0.0809523809525675,0.17273884597897,247.07080210228,0.468640278877531,1
"NR F order1 - PR F order2","9",0.0809523809525674,0.172738845978971,247.070802102275,0.46864027887753,1
"NR F order1 - NR M order2","9",-0.0142857142855731,0.17273884597897,247.070802102271,-0.082701225683262,1
"NR F order1 - PR M order2","9",0.0333333333334746,0.17273884597897,247.070802102267,0.192969526597003,1
"PR F order1 - NR M order1","9",-0.0809523809521971,0.17273884597897,247.07080210228,-0.468640278875386,1
"PR F order1 - PR M order1","9",-0.176190476190292,0.17273884597897,247.070802102275,-1.01998178343591,1
"PR F order1 - NR F order2","9",-0.033333333333148,0.17273884597897,247.07080210228,-0.192969526595113,1
