
	Pairwise comparisons using t tests with pooled SD 

data:  combined_data$pr_hourly_pellet_intake and interaction(combined_data$group, combined_data$hour) 

                  Female_Order_1.0 Female_Order_2.0 Male_Order_1.0
                  Male_Order_2.3 Female_Order_1.4 Female_Order_2.4
Female_Order_2.0  -              -                -               
Male_Order_1.0    -              -                -               
Male_Order_2.0    -              -                -               
Female_Order_1.1  -              -                -               
Female_Order_2.1  -              -                -               
Male_Order_1.1    -              -                -               
Male_Order_2.1    -              -                -               
Female_Order_1.2  -              -                -               
Female_Order_2.2  -              -                -               
Male_Order_1.2    -              -                -               
Male_Order_2.2    -              -                -               
Female_Order_1.3  -              -                -               
Female_Order_2.3  -              -                -               
Male_Order_1.3    -              -                -               
Male_Order_2.3    -              -                -               
Female_Order_1.4  1.00000        -                -               
Female_Order_2.4  1.00000        1.00000          -               
Male_Order_1.4    1.00000        1.00000          1.00000         
Male_Order_2.4    1.00000        1.00000          1.00000         
Female_Order_1.5  1.00000        1.00000          1.00000         
Female_Order_2.5  1.00000        1.00000          1.00000         
Male_Order_1.5    1.00000        1.00000          1.00000         
Male_Order_2.5    1.00000        1.00000          1.00000         
Female_Order_1.6  1.00000        1.00000          1.00000         
Female_Order_2.6  1.00000        1.00000          1.00000         
Male_Order_1.6    1.00000        1.00000          1.00000         
Male_Order_2.6    1.00000        1.00000          1.00000         
Female_Order_1.7  1.00000        1.00000          1.00000         
Female_Order_2.7  1.00000        1.00000          1.00000         
Male_Order_1.7    1.00000        1.00000          1.00000         
