"Sex","Order","Phase","Hour","mean_meals","sd_meals","mean_snacks","sd_snacks","mean_mega_meals","sd_mega_meals"
"M","2","PR","14",3.71428571428571,1.0842094834863,3.5952380952381,0.481635535561535,0.523809523809524,0.357618730581306
"M","2","PR","15",3.38095238095238,1.15940402236443,3.0952380952381,0.946170225296746,0.833333333333333,0.387737199729948
"M","2","PR","16",3.5952380952381,1.52908313642367,2.30952380952381,1.1335934075344,0.80952380952381,0.583211843519804
"M","2","PR","17",3.23809523809524,0.971708643099787,2.52380952380952,0.748695009791754,0.714285714285714,0.404061017820884
"M","2","PR","18",3.23809523809524,1.39873606696689,1.95238095238095,1.12727472220383,0.523809523809524,0.295084445425327
"M","2","PR","19",2.21428571428571,1.10932963761812,1.19047619047619,0.439542124160546,0.5,0.174963553055941
"M","2","PR","20",1.45238095238095,0.418126693686004,0.833333333333333,0.537694751935058,0.5,0.29623487647611
"M","2","PR","21",1.71428571428571,0.818161203615792,0.904761904761905,1.06777153662278,0.333333333333333,0.215077900774023
"M","2","PR","22",1.52380952380952,1.06009882737862,0.880952380952381,0.588437340250736,0.476190476190476,0.215077900774023
"M","2","PR","23",2.07142857142857,0.786363368258451,1.5952380952381,0.927655225656103,0.428571428571429,0.202030508910442
