"sex","order","diet","term","group1","group2","null.value","estimate","conf.low","conf.high","p.adj","p.adj.signif"
"F","1","NR","hour","12","18",0,0.514285714285714,-1.96398508678215,2.99255651535358,1,"ns"
"F","1","NR","hour","12","19",0,0.428571428571428,-2.04969937249644,2.90684222963929,1,"ns"
"F","1","NR","hour","12","20",0,-0.0857142857142856,-2.56398508678215,2.39255651535358,1,"ns"
"F","1","NR","hour","12","21",0,0.228571428571428,-2.24969937249644,2.70684222963929,1,"ns"
"F","1","NR","hour","12","22",0,0.228571428571428,-2.24969937249644,2.70684222963929,1,"ns"
"F","1","NR","hour","12","23",0,0.599999999999999,-1.87827080106787,3.07827080106786,1,"ns"
"F","1","NR","hour","13","14",0,0.028571428571428,-2.44969937249644,2.50684222963929,1,"ns"
"F","1","NR","hour","13","15",0,-0.342857142857143,-2.82112794392501,2.13541365821072,1,"ns"
"F","1","NR","hour","13","16",0,-0.628571428571428,-3.10684222963929,1.84969937249644,1,"ns"
"F","1","NR","hour","13","17",0,-0.685714285714286,-3.16398508678215,1.79255651535358,1,"ns"
"F","1","NR","hour","13","18",0,-1.28571428571429,-3.76398508678215,1.19255651535358,0.953,"ns"
"F","1","NR","hour","13","19",0,-1.37142857142857,-3.84969937249644,1.10684222963929,0.915,"ns"
"F","1","NR","hour","13","20",0,-1.88571428571429,-4.36398508678215,0.59255651535358,0.415,"ns"
"F","1","NR","hour","13","21",0,-1.57142857142857,-4.04969937249644,0.906842229639294,0.759,"ns"
"F","1","NR","hour","13","22",0,-1.57142857142857,-4.04969937249644,0.906842229639294,0.759,"ns"
"F","1","NR","hour","13","23",0,-1.2,-3.67827080106786,1.27827080106786,0.977,"ns"
"F","1","NR","hour","14","15",0,-0.371428571428571,-2.84969937249644,2.10684222963929,1,"ns"
"F","1","NR","hour","14","16",0,-0.657142857142856,-3.13541365821072,1.82112794392501,1,"ns"
"F","1","NR","hour","14","17",0,-0.714285714285714,-3.19255651535358,1.76398508678215,1,"ns"
"F","1","NR","hour","14","18",0,-1.31428571428571,-3.79255651535358,1.16398508678215,0.942,"ns"
