MouseID,Phase,Start_Time,End_Time,Duration_Minutes,Number_of_Pellets
FEDXA11,PR,5/7/2022 2:28,5/7/2022 2:31,2.48,14
FEDXA11,NR,4/26/2022 10:21,4/26/2022 10:22,1.58,13
FEDXA11,NR,4/26/2022 13:21,4/26/2022 13:24,2.8,12
FEDXA11,NR,4/26/2022 17:17,4/26/2022 17:19,1.85,11
FEDXA11,NR,4/27/2022 6:02,4/27/2022 6:03,1.9,10
FEDXA11,NR,4/29/2022 5:29,4/29/2022 5:30,1.9,11
FEDXA11,NR,4/30/2022 3:43,4/30/2022 3:45,2.27,12
FEDXA11,NR,4/30/2022 4:50,4/30/2022 4:52,1.73,10
FEDXA11,NR,5/2/2022 4:20,5/2/2022 4:22,1.8,12
FEDXA12,GRAIN,4/23/2022 15:42,4/23/2022 15:44,2.15,10
FEDXA12,GRAIN,4/23/2022 17:53,4/23/2022 17:56,2.33,10
FEDXA12,GRAIN,4/23/2022 21:14,4/23/2022 21:16,1.9,15
FEDXA12,GRAIN,4/24/2022 2:51,4/24/2022 2:53,2.02,11
FEDXA12,GRAIN,4/25/2022 11:09,4/25/2022 11:11,1.48,10
FEDXA12,GRAIN,4/26/2022 9:00,4/26/2022 9:02,2.32,12
FEDXA12,PR,5/5/2022 3:09,5/5/2022 3:11,2.23,11
FEDXA12,PR,5/5/2022 22:16,5/5/2022 22:18,2.02,11
FEDXA12,PR,5/7/2022 1:47,5/7/2022 1:49,1.8,12
FEDXA12,PR,5/7/2022 21:33,5/7/2022 21:36,2.47,10
FEDXA12,PR,5/7/2022 22:39,5/7/2022 22:41,2.13,10
FEDXA12,PR,5/8/2022 3:43,5/8/2022 3:45,1.95,10
FEDXA12,PR,5/8/2022 12:59,5/8/2022 13:01,2.28,12
FEDXA12,PR,5/9/2022 11:16,5/9/2022 11:18,2.75,12
FEDXA12,PR,5/9/2022 12:16,5/9/2022 12:18,1.97,10
FEDXA12,PR,5/10/2022 1:09,5/10/2022 1:11,2.22,11
FEDXA12,PR,5/10/2022 2:49,5/10/2022 2:51,1.9,10
FEDXA12,NR,4/26/2022 11:57,4/26/2022 11:59,1.88,10
FEDXA12,NR,4/26/2022 17:04,4/26/2022 17:07,2.63,11
FEDXA12,NR,4/30/2022 3:48,4/30/2022 3:50,1.97,11
FEDXA12,NR,5/1/2022 11:25,5/1/2022 11:28,2.53,12
FEDXA12,NR,5/2/2022 12:41,5/2/2022 12:43,2.1,11
FEDXA12,NR,5/3/2022 1:14,5/3/2022 1:16,2.03,10
FEDXB01,GRAIN,6/3/2022 1:37,6/3/2022 1:39,2.7,10
FEDXB01,GRAIN,6/3/2022 3:20,6/3/2022 3:22,2.05,10
FEDXB01,GRAIN,6/3/2022 3:46,6/3/2022 3:49,2.42,10
FEDXB01,GRAIN,6/3/2022 6:10,6/3/2022 6:13,2.47,12
FEDXB01,GRAIN,6/3/2022 6:52,6/3/2022 6:54,1.92,10
FEDXB01,GRAIN,6/3/2022 18:14,6/3/2022 18:15,1.28,10
FEDXB01,GRAIN,6/3/2022 20:38,6/3/2022 20:40,1.85,13
FEDXB01,GRAIN,6/3/2022 22:19,6/3/2022 22:21,1.43,10
FEDXB01,GRAIN,6/3/2022 22:42,6/3/2022 22:44,1.9,12
FEDXB01,GRAIN,6/3/2022 23:06,6/3/2022 23:08,1.65,12
FEDXB01,GRAIN,6/4/2022 1:47,6/4/2022 1:49,1.88,10
FEDXB01,GRAIN,6/4/2022 4:57,6/4/2022 5:00,2.13,12
